a,action,reward
0,3,0
1,0,1
2,0,0
3,1,2
4,0,0
5,3,1
6,1,0
7,3,2
8,0,2
9,3,0
10,2,1
11,2,-1
12,2,3
13,1,-1
14,1,2
15,0,0
16,3,2
17,3,1
18,3,0
19,3,0
20,3,2
21,2,0
22,3,2
23,3,-1
24,1,3
25,1,2
26,1,0
27,1,1
28,0,2
29,0,3
30,0,0
31,0,0
32,2,1
33,1,3
34,2,0
35,1,3
36,0,1
37,3,-3
38,0,1
39,3,-1
40,3,-2
41,3,0
42,3,1
43,1,1
44,2,-1
45,0,1
46,0,1
47,2,-3
48,3,1
49,3,1
50,1,2
51,2,-1
52,1,2
53,2,0
54,1,2
55,1,1
56,2,0
57,2,0
58,3,3
59,2,1
60,3,1
61,3,-1
62,2,1
63,1,1
64,2,1
65,1,2
66,1,1
67,0,1
68,0,1
69,1,2
70,1,1
71,3,1
72,0,1
73,3,1
74,3,-4
75,1,1
76,3,-1
77,1,2
78,0,3
79,0,1
80,0,0
81,0,1
82,3,-1
83,1,2
84,3,2
85,1,-3
86,2,-2
87,1,2
88,0,1
89,1,-1
90,1,1
91,1,1
92,1,2
93,2,-1
94,0,0
95,1,0
96,3,1
97,3,1
98,1,2
99,2,2
100,2,0
101,2,-2
102,1,1
103,2,-3
104,3,0
105,0,1
106,0,1
107,0,-1
108,3,0
109,3,0
110,3,1
111,0,-1
112,3,1
113,1,1
114,1,2
115,3,1
116,2,0
117,3,3
118,3,1
119,3,-2
120,2,-1
121,0,1
122,2,0
123,0,1
124,1,2
125,0,1
126,0,0
127,1,2
128,0,0
129,1,1
130,1,1
131,0,1
132,2,-1
133,2,0
134,0,1
135,3,0
136,1,2
137,2,1
138,0,1
139,2,-1
140,0,1
141,1,2
142,3,1
143,1,3
144,0,1
145,3,1
146,0,-2
147,1,2
148,3,0
149,1,2
150,2,0
151,3,1
152,3,0
153,0,1
154,2,1
155,2,1
156,0,-1
157,1,0
158,0,0
159,0,0
160,0,1
161,2,0
162,1,1
163,1,2
164,0,0
165,0,1
166,1,0
167,1,2
168,3,-2
169,3,1
170,1,1
171,0,0
172,2,1
173,2,2
174,2,0
175,2,1
176,3,1
177,2,1
178,0,0
179,3,-1
180,2,0
181,3,-2
182,0,3
183,0,3
184,0,1
185,3,0
186,0,0
187,2,0
188,0,3
189,2,3
190,0,1
191,2,-1
192,2,0
193,1,3
194,0,-4
195,3,1
196,3,1
197,1,3
198,2,-1
199,2,0
200,3,2
201,1,3
202,1,2
203,0,-1
204,1,0
205,1,1
206,1,2
207,3,1
208,1,2
209,2,-1
210,3,-2
211,0,1
212,1,2
213,1,1
214,3,2
215,1,2
216,2,-1
217,3,0
218,1,2
219,0,1
220,0,-3
221,0,-2
222,2,0
223,2,1
224,0,-1
225,2,0
226,3,1
227,1,-1
228,0,1
229,0,1
230,3,0
231,3,0
232,2,1
233,2,-2
234,2,1
235,3,0
236,3,0
237,2,1
238,3,-1
239,3,-1
240,2,3
241,3,1
242,0,3
243,2,-3
244,1,2
245,3,-2
246,3,1
247,1,1
248,3,-1
249,3,-1
250,3,0
251,2,1
252,3,1
253,2,-2
254,2,-1
255,0,1
256,3,1
257,2,1
258,3,-2
259,2,0
260,0,-6
261,2,1
262,3,1
263,1,2
264,3,3
265,0,1
266,1,1
267,0,-2
268,0,-2
269,3,0
270,3,1
271,3,0
272,2,0
273,1,2
274,2,0
275,2,0
276,3,-1
277,3,1
278,3,2
279,2,-1
280,3,-3
281,2,-1
282,1,2
283,2,-2
284,2,-1
285,0,1
286,2,-1
287,3,0
288,2,-3
289,2,3
290,2,1
291,1,0
292,2,1
293,3,0
294,1,0
295,3,0
296,3,1
297,3,1
298,2,1
299,1,2
300,1,2
301,2,1
302,3,1
303,2,-1
304,0,-2
305,1,2
306,0,1
307,0,-3
308,2,0
309,3,0
310,3,0
311,1,1
312,2,-1
313,2,-1
314,1,2
315,2,2
316,2,-1
317,2,1
318,3,1
319,0,2
320,0,1
321,0,1
322,3,0
323,0,1
324,2,0
325,0,1
326,0,1
327,2,-3
328,1,1
329,1,2
330,3,-3
331,0,1
332,1,2
333,2,0
334,3,-2
335,1,0
336,0,2
337,0,1
338,2,0
339,0,-1
340,2,1
341,0,3
342,0,1
343,2,-1
344,1,1
345,3,0
346,3,1
347,2,0
348,0,0
349,3,0
350,2,1
351,2,-1
352,0,0
353,2,1
354,2,0
355,2,0
356,2,1
357,3,2
358,0,-1
359,0,0
360,1,1
361,2,3
362,1,2
363,2,1
364,3,-4
365,3,0
366,3,0
367,2,1
368,3,1
369,3,1
370,3,1
371,3,1
372,0,1
373,2,1
374,3,1
375,0,0
376,1,2
377,0,1
378,3,1
379,3,1
380,2,1
381,2,-1
382,2,2
383,3,0
384,3,1
385,2,1
386,3,1
387,2,1
388,1,2
389,2,1
390,3,0
391,3,1
392,2,-1
393,1,0
394,2,1
395,2,-1
396,2,3
397,2,1
398,0,-1
399,3,1
400,3,0
401,3,0
402,2,-5
403,2,-3
404,2,-1
405,2,1
406,1,2
407,2,-1
408,3,1
409,2,-1
410,2,1
411,3,1
412,1,2
413,0,1
414,3,1
415,0,-1
416,3,-1
417,3,-1
418,3,3
419,3,0
420,2,-5
421,0,-1
422,3,1
423,3,-1
424,2,-1
425,3,-1
426,1,1
427,3,1
428,2,1
429,2,1
430,3,0
431,2,1
432,1,0
433,0,0
434,1,2
435,2,1
436,1,2
437,3,1
438,0,1
439,3,1
440,3,-1
441,2,1
442,1,2
443,2,-2
444,0,-2
445,2,-3
446,2,0
447,1,3
448,3,1
449,2,-1
450,0,0
451,0,1
452,3,1
453,2,1
454,1,1
455,2,-3
456,0,1
457,3,1
458,3,-1
459,3,0
460,2,-4
461,0,1
462,3,1
463,2,-2
464,0,1
465,3,-1
466,3,0
467,2,0
468,3,1
469,3,1
470,2,0
471,2,1
472,0,1
473,1,2
474,1,0
475,2,1
476,0,0
477,2,1
478,2,1
479,1,1
480,1,2
481,1,1
482,2,0
483,2,-1
484,2,1
485,1,1
486,2,-1
487,1,1
488,3,1
489,2,-1
490,2,2
491,0,2
492,0,-1
493,3,1
494,3,1
495,2,1
496,2,-2
497,1,2
498,3,1
499,2,1
500,3,0
501,2,0
502,2,1
503,3,3
504,2,0
505,1,3
506,1,2
507,0,-2
508,2,1
509,3,1
510,0,1
511,0,2
512,3,-3
513,2,-4
514,0,1
515,0,0
516,3,1
517,3,1
518,2,1
519,3,-3
520,3,1
521,0,0
522,2,-2
523,3,-2
524,2,-1
525,0,-2
526,3,0
527,3,1
528,3,1
529,2,2
530,2,0
531,0,-1
532,2,-4
533,0,0
534,0,0
535,0,-1
536,2,-1
537,2,-5
538,3,0
539,2,-1
540,2,1
541,3,1
542,2,0
543,3,0
544,2,-2
545,2,1
546,0,1
547,2,-1
548,1,2
549,2,1
550,3,1
551,2,1
552,2,0
553,0,1
554,0,1
555,2,0
556,0,3
557,2,0
558,1,2
559,0,-2
560,3,1
561,2,-1
562,3,0
563,2,1
564,3,1
565,1,3
566,2,-1
567,0,1
568,2,3
569,3,-2
570,3,0
571,1,0
572,2,1
573,2,1
574,3,-2
575,3,1
576,2,1
577,2,0
578,2,-1
579,3,0
580,3,-1
581,1,1
582,1,2
583,3,0
584,2,-1
585,2,1
586,2,-1
587,2,-2
588,2,1
589,2,-4
590,2,1
591,3,3
592,0,0
593,3,-1
594,3,3
595,1,2
596,0,1
597,0,3
598,3,-1
599,0,1
600,0,0
601,0,1
602,0,1
603,3,1
604,3,1
605,1,2
606,3,1
607,3,1
608,0,1
609,3,0
610,2,1
611,2,0
612,2,-2
613,2,1
614,2,-4
615,0,1
616,0,1
617,2,-1
618,3,0
619,3,3
620,3,3
621,2,1
622,2,-3
623,0,-1
624,1,3
625,1,1
626,3,1
627,2,1
628,2,0
629,0,0
630,3,1
631,2,-4
632,3,0
633,0,0
634,0,-1
635,3,0
636,3,1
637,3,0
638,2,1
639,2,-2
640,2,1
641,3,-1
642,0,0
643,2,-2
644,2,0
645,2,-2
646,2,-2
647,2,1
648,1,1
649,1,2
650,0,1
651,1,2
652,3,1
653,1,2
654,2,-2
655,3,1
656,0,-1
657,0,1
658,2,1
659,2,1
660,3,1
661,2,1
662,3,1
663,3,1
664,1,2
665,0,-2
666,2,-1
667,3,1
668,0,0
669,1,0
670,0,2
671,3,-1
672,3,-3
673,3,0
674,1,2
675,2,2
676,1,1
677,0,0
678,1,1
679,0,-1
680,2,-2
681,2,1
682,2,1
683,0,0
684,2,2
685,3,-2
686,0,0
687,1,2
688,3,-1
689,2,-2
690,0,0
691,2,3
692,0,-1
693,0,1
694,2,1
695,0,-1
696,3,0
697,0,-2
698,0,1
699,3,0
700,2,0
701,2,3
702,1,2
703,2,1
704,3,0
705,1,2
706,2,1
707,3,3
708,3,2
709,2,-3
710,3,-2
711,3,1
712,1,2
713,0,1
714,3,1
715,0,1
716,2,3
717,2,1
718,2,0
719,2,-3
720,3,2
721,0,-1
722,2,0
723,3,1
724,2,-1
725,2,1
726,2,3
727,2,-1
728,1,1
729,0,1
730,2,-2
731,1,1
732,0,1
733,3,0
734,1,2
735,0,3
736,0,0
737,3,1
738,2,1
739,0,-4
740,1,1
741,2,-1
742,3,0
743,2,1
744,0,1
745,2,1
746,0,-2
747,1,3
748,1,2
749,2,-1
750,2,-1
751,2,1
752,2,1
753,3,0
754,1,2
755,2,1
756,3,1
757,3,3
758,3,0
759,3,-1
760,3,0
761,1,1
762,0,0
763,2,1
764,3,-1
765,3,1
766,3,1
767,2,-1
768,3,-1
769,2,1
770,3,-1
771,2,-2
772,2,0
773,3,1
774,3,0
775,0,1
776,1,2
777,2,0
778,3,1
779,0,-1
780,2,1
781,2,1
782,1,1
783,2,1
784,3,1
785,0,0
786,2,-4
787,2,1
788,3,-2
789,0,-1
790,0,0
791,2,1
792,3,0
793,3,3
794,2,2
795,0,1
796,2,1
797,0,-1
798,2,-2
799,0,1
800,2,1
801,2,0
802,2,-1
803,0,1
804,1,2
805,0,1
806,3,3
807,2,0
808,0,-1
809,0,0
810,0,1
811,1,1
812,0,3
813,2,1
814,2,1
815,3,-1
816,0,1
817,0,0
818,1,0
819,2,1
820,2,3
821,2,1
822,0,0
823,2,0
824,0,1
825,0,1
826,3,1
827,0,1
828,0,0
829,3,2
830,3,1
831,2,-1
832,2,0
833,3,0
834,3,1
835,2,1
836,1,2
837,3,-3
838,2,-1
839,2,-1
840,2,2
841,3,0
842,3,1
843,2,3
844,2,0
845,0,-1
846,3,1
847,0,0
848,3,0
849,2,-2
850,1,0
851,0,-1
852,2,1
853,3,1
854,2,-1
855,0,0
856,1,2
857,1,2
858,2,-2
859,2,1
860,0,1
861,2,0
862,3,1
863,1,-1
864,1,2
865,2,1
866,0,1
867,2,0
868,2,-3
869,2,1
870,0,0
871,3,1
872,0,0
873,0,0
874,1,2
875,2,3
876,2,3
877,2,0
878,2,1
879,0,1
880,2,3
881,3,1
882,3,1
883,3,1
884,3,1
885,1,2
886,2,1
887,0,1
888,0,0
889,3,1
890,2,1
891,0,-2
892,3,1
893,0,0
894,1,2
895,0,-1
896,0,3
897,0,0
898,0,-2
899,2,-3
900,2,1
901,1,3
902,1,2
903,1,0
904,0,0
905,3,-2
906,2,1
907,2,1
908,1,2
909,3,2
910,2,1
911,2,0
912,1,2
913,3,1
914,0,1
915,1,2
916,2,-3
917,1,1
918,2,1
919,1,-5
920,1,2
921,2,-2
922,2,-2
923,0,1
924,2,-1
925,2,0
926,3,0
927,3,1
928,2,1
929,3,1
930,0,1
931,1,2
932,2,1
933,2,1
934,0,0
935,0,1
936,1,3
937,2,1
938,0,0
939,1,2
940,2,1
941,2,0
942,2,-2
943,3,1
944,0,3
945,3,1
946,0,1
947,0,0
948,1,2
949,3,0
950,0,0
951,2,0
952,2,-3
953,3,3
954,1,2
955,2,-3
956,2,-3
957,0,-1
958,3,2
959,2,3
960,1,2
961,2,0
962,0,1
963,0,-2
964,3,-1
965,0,0
966,3,3
967,1,0
968,2,1
969,0,1
970,2,1
971,2,-1
972,0,1
973,2,1
974,2,-1
975,2,-3
976,2,-1
977,0,-1
978,0,1
979,1,1
980,1,2
981,2,-3
982,0,1
983,0,2
984,1,2
985,3,1
986,3,1
987,0,-2
988,2,-2
989,3,1
990,3,3
991,1,0
992,0,0
993,0,1
994,3,0
995,0,1
996,3,1
997,0,1
998,0,3
999,2,-2
1000,2,0
1001,0,0
1002,0,-2
1003,3,0
1004,3,1
1005,0,1
1006,3,1
1007,3,1
1008,2,1
1009,0,1
1010,1,1
1011,2,-1
1012,3,0
1013,2,1
1014,0,1
1015,2,1
1016,3,-1
1017,3,-2
1018,1,0
1019,0,-2
1020,0,3
1021,3,1
1022,0,1
1023,0,1
1024,0,-1
1025,0,0
1026,1,2
1027,1,1
1028,3,3
1029,3,1
1030,1,1
1031,2,1
1032,0,0
1033,3,0
1034,3,3
1035,3,-1
1036,2,1
1037,2,0
1038,0,-1
1039,2,3
1040,3,0
1041,0,1
1042,0,0
1043,1,0
1044,0,1
1045,1,3
1046,2,-1
1047,3,2
1048,1,2
1049,3,-2
1050,2,0
1051,3,1
1052,2,1
1053,2,1
1054,1,2
1055,1,0
1056,3,3
1057,1,2
1058,0,1
1059,1,-1
1060,1,2
1061,2,-5
1062,3,1
1063,1,1
1064,0,-2
1065,0,1
1066,2,1
1067,2,1
1068,3,1
1069,0,0
1070,1,2
1071,3,1
1072,0,0
1073,1,0
1074,3,-2
1075,2,0
1076,3,0
1077,2,-1
1078,2,1
1079,3,1
1080,2,1
1081,0,-1
1082,2,1
1083,0,1
1084,2,-2
1085,3,1
1086,0,1
1087,2,1
1088,3,1
1089,2,-2
1090,0,0
1091,0,1
1092,3,1
1093,0,-1
1094,3,-2
1095,1,-1
1096,3,2
1097,2,-1
1098,0,3
1099,0,3
1100,2,1
1101,3,1
1102,0,3
1103,3,3
1104,1,2
1105,0,0
1106,2,1
1107,3,1
1108,2,3
1109,3,1
1110,2,3
1111,1,2
1112,1,1
1113,0,0
1114,2,1
1115,0,1
1116,3,1
1117,2,-1
1118,2,-2
1119,3,2
1120,3,-2
1121,3,1
1122,3,1
1123,3,-1
1124,0,1
1125,1,2
1126,3,1
1127,2,1
1128,3,1
1129,0,0
1130,3,1
1131,0,1
1132,3,1
1133,3,1
1134,2,1
1135,1,-1
1136,0,1
1137,3,1
1138,2,1
1139,3,1
1140,2,-1
1141,1,2
1142,2,1
1143,3,1
1144,1,2
1145,0,1
