a,action,reward
0,0,0
1,1,2
2,0,0
3,0,1
4,2,-2
5,3,1
6,0,-1
7,0,0
8,0,2
9,3,0
10,0,1
11,0,1
12,1,3
13,0,-2
14,2,1
15,0,0
16,0,2
17,0,1
18,1,-2
19,1,2
20,3,2
21,1,1
22,0,0
23,1,0
24,0,3
25,2,1
26,0,0
27,0,0
28,0,2
29,1,3
30,3,0
31,0,0
32,1,2
33,1,3
34,2,0
35,0,3
36,2,1
37,0,-3
38,0,1
39,1,0
40,0,-4
41,1,1
42,0,1
43,1,1
44,0,0
45,2,1
46,3,1
47,0,-1
48,0,1
49,1,2
50,1,2
51,0,-1
52,0,1
53,1,0
54,0,1
55,3,0
56,3,0
57,0,0
58,1,3
59,2,1
60,0,1
61,2,-1
62,0,1
63,0,-1
64,1,2
65,0,1
66,3,1
67,0,1
68,1,2
69,1,2
70,2,0
71,0,1
72,2,-1
73,3,1
74,1,-2
75,2,0
76,0,-1
77,1,2
78,0,3
79,0,1
80,3,0
81,0,1
82,3,-1
83,0,1
84,1,2
85,2,-4
86,3,0
87,0,2
88,0,1
89,3,-2
90,2,-2
91,0,0
92,0,1
93,0,-1
94,1,1
95,1,0
96,2,-1
97,0,0
98,2,1
99,0,1
100,2,0
101,2,-2
102,0,0
103,0,-1
104,2,-2
105,0,1
106,3,1
107,1,0
108,1,1
109,0,0
110,0,1
111,2,-3
112,0,1
113,3,0
114,0,1
115,0,1
116,2,0
117,0,3
118,3,1
119,1,-1
120,2,-1
121,0,1
122,0,1
123,0,1
124,2,-1
125,0,1
126,1,1
127,0,1
128,1,1
129,3,0
130,0,0
131,2,1
132,0,-2
133,3,0
134,0,1
135,0,0
136,0,1
137,2,1
138,1,2
139,0,-3
140,0,1
141,0,1
142,1,2
143,3,3
144,2,1
145,1,2
146,0,-2
147,1,2
148,1,1
149,0,1
150,2,0
151,2,1
152,0,2
153,3,1
154,2,1
155,1,2
156,2,1
157,0,-1
158,1,1
159,3,0
160,3,1
161,0,0
162,3,0
163,0,1
164,2,0
165,0,1
166,0,-1
167,2,-1
168,0,0
169,0,1
170,0,0
171,2,2
172,3,1
173,3,2
174,1,1
175,2,1
176,3,1
177,0,1
178,3,0
179,2,-1
180,0,0
181,0,0
182,1,3
183,1,3
184,1,2
185,0,0
186,0,0
187,0,0
188,0,3
189,0,1
190,1,2
191,0,0
192,0,2
193,1,3
194,2,-2
195,2,0
196,0,1
197,0,3
198,0,1
199,2,0
200,0,2
201,1,3
202,0,1
203,3,-1
204,0,-1
205,3,0
206,1,2
207,1,2
208,0,2
209,1,0
210,2,0
211,1,2
212,2,2
213,3,1
214,0,0
215,3,1
216,0,-1
217,0,0
218,1,2
219,0,1
220,0,-3
221,0,-2
222,0,2
223,1,2
224,1,0
225,0,0
226,1,2
227,1,-1
228,2,1
229,0,1
230,1,1
231,0,0
232,2,1
233,0,0
234,3,1
235,1,-1
236,1,1
237,2,1
238,1,0
239,3,-1
240,0,3
241,0,1
242,2,3
243,0,-3
244,1,2
245,2,-4
246,0,1
247,2,0
248,1,1
249,2,1
250,0,0
251,1,2
252,2,-1
253,0,-2
254,0,-1
255,1,2
256,0,1
257,2,1
258,0,-2
259,0,0
260,1,-3
261,1,2
262,0,1
263,1,2
264,0,3
265,0,1
266,0,1
267,0,-2
268,3,-1
269,1,1
270,1,2
271,0,0
272,2,0
273,3,1
274,0,0
275,0,0
276,0,-1
277,2,3
278,2,0
279,3,0
280,0,-3
281,2,-1
282,0,1
283,0,-1
284,2,-1
285,2,1
286,0,1
287,0,0
288,0,-1
289,2,3
290,0,1
291,0,-3
292,2,1
293,3,0
294,2,-1
295,0,0
296,1,3
297,1,2
298,0,1
299,3,1
300,1,2
301,0,1
302,0,0
303,1,0
304,1,1
305,1,2
306,1,2
307,1,-2
308,3,-1
309,0,-2
310,0,0
311,0,0
312,3,0
313,3,-1
314,1,2
315,0,2
316,0,3
317,0,1
318,1,2
319,0,2
320,1,2
321,0,1
322,1,2
323,0,1
324,3,0
325,3,1
326,0,1
327,1,0
328,0,0
329,1,2
330,1,0
331,1,1
332,1,2
333,0,1
334,0,-2
335,0,0
336,1,2
337,2,1
338,3,-1
339,2,-3
340,0,1
341,1,3
342,1,2
343,1,2
344,0,0
345,0,0
346,1,2
347,0,0
348,0,0
349,0,0
350,0,1
351,0,-1
352,0,0
353,1,2
354,0,0
355,0,-1
356,3,1
357,1,2
358,0,-1
359,1,1
360,0,0
361,0,1
362,0,1
363,1,2
364,0,-4
365,2,-2
366,0,0
367,1,1
368,0,1
369,0,1
370,0,1
371,0,1
372,0,1
373,0,1
374,0,1
375,0,0
376,0,1
377,2,0
378,1,2
379,3,1
380,0,3
381,1,1
382,1,1
383,2,-1
384,1,2
385,2,1
386,2,1
387,0,1
388,2,0
389,0,1
390,3,0
391,0,1
392,0,1
393,0,-1
394,0,1
395,1,1
396,0,2
397,2,1
398,1,0
399,2,1
400,0,0
401,3,0
402,0,-3
403,1,1
404,0,1
405,0,1
406,0,1
407,3,0
408,3,1
409,2,-1
410,2,1
411,2,1
412,1,2
413,1,2
414,0,1
415,1,0
416,2,2
417,2,-3
418,0,3
419,0,1
420,1,-1
421,3,-1
422,3,1
423,2,0
424,0,-2
425,0,-1
426,0,0
427,2,1
428,1,2
429,0,1
430,0,-1
431,1,0
432,3,-1
433,1,1
434,0,1
435,1,1
436,1,2
437,0,1
438,0,1
439,0,3
440,2,0
441,0,1
442,0,1
443,2,-2
444,2,-3
445,3,-3
446,1,1
447,0,3
448,0,1
449,0,1
450,3,1
451,3,1
452,3,1
453,1,2
454,0,1
455,0,-1
456,1,2
457,0,1
458,3,-1
459,0,-2
460,0,-4
461,0,1
462,1,2
463,0,-1
464,1,2
465,0,-1
466,3,0
467,1,2
468,3,1
469,0,1
470,0,0
471,2,1
472,0,1
473,0,1
474,3,0
475,2,1
476,2,0
477,0,1
478,1,2
479,0,0
480,3,1
481,0,1
482,0,0
483,1,1
484,0,3
485,0,0
486,2,-1
487,0,0
488,0,1
489,1,2
490,0,3
491,0,2
492,3,-1
493,2,0
494,1,2
495,0,1
496,0,0
497,0,2
498,2,1
499,0,1
500,1,-1
501,0,0
502,3,1
503,1,2
504,1,2
505,1,3
506,1,2
507,1,-1
508,2,1
509,0,0
510,2,1
511,1,2
512,0,-3
513,1,-1
514,3,1
515,0,0
516,0,1
517,0,1
518,0,1
519,0,-3
520,0,1
521,0,0
522,0,0
523,3,-2
524,0,1
525,0,-2
526,0,0
527,3,1
528,2,1
529,0,2
530,0,1
531,1,0
532,2,-4
533,1,0
