a,action,reward
0,0,0
1,1,2
2,3,0
3,0,1
4,3,0
5,3,1
6,2,-1
7,3,2
8,1,2
9,1,1
10,0,1
11,1,2
12,1,3
13,1,-1
14,3,1
15,1,1
16,0,2
17,0,1
18,3,0
19,3,0
20,2,-1
21,0,0
22,1,1
23,0,-1
24,1,3
25,1,2
26,0,0
27,3,0
28,2,0
29,3,3
30,2,0
31,3,0
32,1,2
33,2,1
34,3,0
35,0,3
36,0,1
37,2,-3
38,3,1
39,2,-1
40,1,-1
41,2,0
42,3,1
43,2,0
44,2,-1
45,2,1
46,1,2
47,1,0
48,2,-1
49,1,2
50,1,2
51,1,0
52,0,1
53,1,0
54,3,1
55,0,0
56,2,0
57,2,0
58,2,-1
59,0,1
60,2,0
61,3,-1
62,2,1
63,0,-1
64,3,1
65,1,2
66,2,1
67,0,1
68,2,1
69,2,-1
70,1,1
71,3,1
72,1,2
73,0,1
74,1,-2
75,0,0
76,0,-1
77,1,2
78,1,3
79,2,1
80,0,0
81,1,1
82,0,-3
83,3,1
84,1,2
85,3,-2
86,3,0
87,3,2
88,2,0
89,0,-2
90,3,1
91,2,1
92,1,2
93,1,0
94,3,0
95,0,-1
96,0,1
97,1,1
98,1,2
99,1,1
100,0,0
101,0,0
102,2,1
103,2,-3
104,0,0
105,2,1
106,2,1
107,3,-1
108,3,0
109,3,0
110,2,1
111,0,-1
112,3,1
113,1,1
114,1,2
115,1,1
116,2,0
117,0,3
118,0,1
119,1,-1
120,1,2
121,1,2
122,1,2
123,1,2
124,0,1
125,3,1
126,1,1
127,3,1
128,0,0
129,1,1
130,0,0
131,1,1
132,0,-2
133,3,0
134,0,1
135,2,0
136,1,2
137,2,1
138,1,2
139,0,-3
140,0,1
141,0,1
142,3,1
143,0,3
144,0,1
145,1,2
146,3,-3
147,1,2
148,0,0
149,3,1
150,3,1
151,3,1
152,0,2
153,2,-1
154,3,1
155,3,1
156,3,-1
157,0,-1
158,1,1
159,1,1
160,1,2
161,2,0
162,2,0
163,3,1
164,2,0
165,2,1
166,2,-1
167,3,1
168,3,-2
169,2,1
170,1,1
171,2,2
172,1,2
173,3,2
174,3,-1
175,2,1
176,3,1
177,0,1
178,2,0
179,2,-1
180,2,0
181,2,-2
182,0,3
183,3,3
184,3,1
185,3,0
186,1,1
187,0,0
188,1,3
189,0,1
190,2,-1
191,2,-1
192,2,0
193,0,3
194,0,-4
195,0,1
196,1,2
197,1,3
198,1,1
199,3,0
200,2,-2
201,1,3
202,3,1
203,2,-3
204,1,0
205,2,-1
206,0,1
207,3,1
208,3,2
209,2,-1
210,0,-2
211,3,1
212,3,2
213,2,0
214,0,0
215,3,1
216,1,0
217,0,0
218,1,2
219,2,0
220,1,-2
221,2,-2
222,1,2
223,2,1
224,1,0
225,2,0
226,0,1
227,0,-1
228,3,1
229,3,1
230,1,1
231,1,1
232,2,1
233,1,1
234,3,1
235,0,-2
236,2,0
237,0,1
238,1,0
239,2,-1
240,3,1
241,1,2
242,3,1
243,2,-3
244,0,1
245,3,-2
246,2,1
247,1,1
248,1,1
249,1,0
250,3,0
251,3,1
252,3,1
253,2,-2
254,3,0
255,1,2
256,0,1
257,2,1
258,1,0
259,2,0
260,3,-4
261,0,1
262,3,1
263,1,2
264,0,3
265,0,1
266,0,1
267,3,-2
268,2,-2
269,2,0
270,2,0
271,3,0
272,0,1
273,2,1
274,0,0
275,2,0
276,0,-1
277,2,3
278,3,2
279,2,-1
280,3,-3
281,2,-1
282,2,1
283,0,-1
284,1,2
285,3,1
286,1,3
287,2,0
288,3,-1
289,0,3
290,1,2
291,0,-3
292,3,3
293,3,0
294,3,-1
295,1,1
296,3,1
297,2,1
298,1,2
299,3,1
300,0,1
301,1,1
302,2,0
303,3,-2
304,2,-2
305,1,2
306,1,2
307,1,-2
308,1,0
309,0,-2
310,3,0
311,1,1
312,0,-1
313,0,-1
314,0,1
315,1,2
316,1,3
317,0,1
318,3,1
319,1,2
320,1,2
321,1,2
322,0,1
323,2,1
324,1,-1
325,0,1
326,0,1
327,1,0
328,1,1
329,2,1
330,1,0
331,1,1
332,2,1
333,1,2
334,0,-2
335,1,0
336,3,2
337,1,2
338,0,0
339,2,-3
340,3,1
341,2,3
342,2,1
343,0,1
344,0,0
345,0,0
346,0,1
347,2,0
348,0,0
349,0,0
350,0,1
351,0,-1
352,0,0
353,0,1
354,0,0
355,0,-1
356,2,1
357,3,2
358,0,-1
359,1,1
360,1,1
361,0,1
362,3,1
363,2,1
364,3,-4
365,0,0
366,3,0
367,3,0
368,1,2
369,2,1
370,0,1
371,2,0
372,1,2
373,3,1
374,0,1
375,2,0
376,3,1
377,0,1
378,1,2
379,3,1
380,0,3
381,1,1
382,3,0
383,0,1
384,1,2
385,3,1
386,0,1
387,1,2
388,3,1
389,1,2
390,3,0
391,1,2
392,0,1
393,1,0
394,0,1
395,3,1
396,0,2
397,0,1
398,3,-1
399,1,2
400,2,0
401,0,0
402,0,-3
403,1,1
404,2,-1
405,0,1
406,0,1
407,0,1
408,1,2
409,1,3
410,1,0
411,1,2
412,1,2
413,3,1
414,2,-1
415,0,-1
416,2,2
417,0,-1
418,0,3
419,1,2
420,1,-1
421,1,0
422,0,1
423,0,0
424,0,-2
425,2,-1
426,2,0
427,0,1
428,3,1
429,0,1
430,0,-1
431,2,1
432,1,0
433,3,-1
434,0,1
435,1,1
436,0,1
437,3,1
438,2,1
439,2,2
440,2,0
441,0,1
442,0,1
443,2,-2
444,0,-2
445,0,-3
446,0,0
447,0,3
448,0,1
449,0,1
450,1,1
451,3,1
452,3,1
453,1,2
454,0,1
455,2,-3
456,0,1
457,0,1
458,0,-1
459,1,1
460,3,-2
461,0,1
462,0,1
463,3,1
464,1,2
465,0,-1
466,0,0
467,3,2
468,0,1
469,0,1
470,0,0
471,1,2
472,2,1
473,0,1
474,0,-1
475,1,2
476,0,0
477,0,1
478,2,1
479,1,1
480,1,2
481,0,1
482,2,0
483,0,0
484,2,1
485,0,0
486,3,3
487,0,0
488,0,1
489,0,1
490,0,3
491,2,0
492,0,-1
493,2,0
494,2,1
495,0,1
496,0,0
497,0,2
498,0,1
499,2,1
500,1,-1
501,0,0
502,0,1
503,0,3
504,0,1
505,0,3
506,3,2
507,2,-1
508,3,1
509,0,0
510,0,1
511,3,2
512,0,-3
513,0,-2
514,3,1
515,2,2
516,1,2
517,3,1
518,0,1
519,1,-1
520,2,1
521,1,1
522,0,0
523,0,0
524,0,1
525,2,-2
526,0,0
527,2,0
528,0,1
529,0,2
530,2,0
531,3,-1
532,0,-2
533,0,0
